idx,ts_iso,run_id,planner,seed,tipo,params_json,source,validada,motivo_rechazo,ejecutada,error_ejecucion,delay_s,exec_s
12,2026-07-10T21:29:24.617840+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""videos educativos de programación""}",llm,ok,,ok,,18,62.24
13,2026-07-10T21:30:48.344922+02:00,llm_run02,llm,1002,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,16.03
14,2026-07-10T21:31:18.063085+02:00,llm_run02,llm,1002,mirar_youtube,"{""busqueda"": ""videos de ciencia ficción""}",llm,ok,,ok,,18,67.47
1,2026-07-10T22:04:58.835878+02:00,llm_run03,llm,1003,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,72.15
2,2026-07-10T22:06:24.941621+02:00,llm_run03,llm,1003,mirar_youtube,"{""busqueda"": ""conciertos en vivo""}",llm,ok,,ok,,12,66.39
3,2026-07-10T22:07:44.591777+02:00,llm_run03,llm,1003,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,13.8
4,2026-07-10T22:08:12.066925+02:00,llm_run03,llm,1003,revisar_correo,{},llm,ok,,fallo,ver session.log,12,53.85
5,2026-07-10T22:09:22.284584+02:00,llm_run03,llm,1003,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,69.1
6,2026-07-10T22:10:47.665489+02:00,llm_run03,llm,1003,usar_twitter,{},llm,ok,,ok,,12,14.95
7,2026-07-10T22:11:18.041244+02:00,llm_run03,llm,1003,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,77.69
8,2026-07-10T22:12:55.585916+02:00,llm_run03,llm,1003,buscar_google,"{""termino"": ""noticias de tecnologia""}",llm,ok,,ok,,12,16.08
9,2026-07-10T22:13:25.488276+02:00,llm_run03,llm,1003,usar_twitter,{},llm,ok,,ok,,12,13.78
10,2026-07-10T22:13:54.971928+02:00,llm_run03,llm,1003,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,15.37
11,2026-07-10T22:14:24.411725+02:00,llm_run03,llm,1003,usar_twitter,{},llm,ok,,ok,,12,12.19
12,2026-07-10T22:14:53.196368+02:00,llm_run03,llm,1003,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,73.5
13,2026-07-10T22:16:27.463125+02:00,llm_run03,llm,1003,buscar_google,"{""termino"": ""noticias de tecnología""}",llm,ok,,ok,,12,22.74
14,2026-07-10T22:17:02.694622+02:00,llm_run03,llm,1003,revisar_correo,{},llm,ok,,fallo,ver session.log,18,49.38
15,2026-07-10T22:18:11.158928+02:00,llm_run03,llm,1003,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,16.44
16,2026-07-10T22:18:40.831300+02:00,llm_run03,llm,1003,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,67.74
1,2026-07-10T22:53:51.396379+02:00,llm_run04,llm,1004,mirar_youtube,"{""busqueda"": ""videos de tecnología""}",llm,ok,,ok,,18,72.97
2,2026-07-10T22:55:24.879546+02:00,llm_run04,llm,1004,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,68.28
3,2026-07-10T22:56:53.381629+02:00,llm_run04,llm,1004,revisar_correo,{},llm,ok,,fallo,ver session.log,18,52.46
4,2026-07-10T22:58:05.315036+02:00,llm_run04,llm,1004,usar_twitter,{},llm,ok,,ok,,12,15.74
5,2026-07-10T22:58:36.527305+02:00,llm_run04,llm,1004,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,12.55
6,2026-07-10T22:59:04.935472+02:00,llm_run04,llm,1004,buscar_google,"{""termino"": ""noticias de última hora""}",llm,ok,,ok,,12,28.98
7,2026-07-10T22:59:48.130669+02:00,llm_run04,llm,1004,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,67.84
8,2026-07-10T23:01:16.541661+02:00,llm_run04,llm,1004,usar_twitter,{},llm,ok,,ok,,18,12.62
9,2026-07-10T23:01:50.406771+02:00,llm_run04,llm,1004,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,69.9
10,2026-07-10T23:03:16.778307+02:00,llm_run04,llm,1004,revisar_correo,{},llm,ok,,fallo,ver session.log,18,49.39
11,2026-07-10T23:04:27.704550+02:00,llm_run04,llm,1004,usar_twitter,{},llm,ok,,ok,,12,14.27
12,2026-07-10T23:04:56.780910+02:00,llm_run04,llm,1004,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,17.5
13,2026-07-10T23:05:29.056218+02:00,llm_run04,llm,1004,revisar_correo,{},llm,ok,,fallo,ver session.log,18,50.73
14,2026-07-10T23:06:39.299820+02:00,llm_run04,llm,1004,buscar_google,"{""termino"": ""nuevas tecnologías""}",llm,ok,,ok,,12,56.44
15,2026-07-10T23:07:48.983786+02:00,llm_run04,llm,1004,revisar_correo,{},llm,ok,,fallo,ver session.log,18,52.42
1,2026-07-10T23:40:30.895818+02:00,llm_run05,llm,1005,revisar_correo,{},llm,ok,,fallo,ver session.log,18,51.91
2,2026-07-10T23:41:42.696341+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""videos educativos de programación""}",llm,ok,,ok,,18,69.0
3,2026-07-10T23:43:11.657575+02:00,llm_run05,llm,1005,revisar_correo,{},llm,ok,,fallo,ver session.log,18,50.38
4,2026-07-10T23:44:21.698619+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,37.36
5,2026-07-10T23:45:14.495372+02:00,llm_run05,llm,1005,buscar_google,"{""termino"": ""noticias de tecnología""}",llm,ok,,ok,,12,19.88
6,2026-07-10T23:45:49.145715+02:00,llm_run05,llm,1005,usar_twitter,{},llm,ok,,ok,,12,12.76
7,2026-07-10T23:46:16.576451+02:00,llm_run05,llm,1005,revisar_correo,{},llm,ok,,fallo,ver session.log,18,52.66
8,2026-07-10T23:47:30.114862+02:00,llm_run05,llm,1005,buscar_google,"{""termino"": ""noticias de última hora""}",llm,ok,,ok,,12,11.31
9,2026-07-10T23:47:54.294872+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,35.33
10,2026-07-10T23:48:47.893090+02:00,llm_run05,llm,1005,usar_twitter,{},llm,ok,,ok,,12,15.49
11,2026-07-10T23:49:18.811322+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,36.07
12,2026-07-10T23:50:08.617157+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,37.76
13,2026-07-10T23:51:09.128684+02:00,llm_run05,llm,1005,revisar_correo,{},llm,ok,,fallo,ver session.log,18,51.34
14,2026-07-10T23:52:21.042897+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,34.97
15,2026-07-10T23:53:18.253875+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""conciertos en vivo""}",llm,ok,,ok,,12,42.93
16,2026-07-10T23:54:14.473591+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,37.5
17,2026-07-10T23:55:14.658435+02:00,llm_run05,llm,1005,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,69.54
1,2026-07-11T00:28:36.926723+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,35.86
2,2026-07-11T00:29:33.167564+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,69.41
3,2026-07-11T00:31:05.543476+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,36.91
4,2026-07-11T00:31:55.972770+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,12,35.57
5,2026-07-11T00:32:45.888432+02:00,llm_run06,llm,1006,revisar_correo,{},llm,ok,,fallo,ver session.log,12,52.16
6,2026-07-11T00:33:53.725931+02:00,llm_run06,llm,1006,usar_twitter,{},llm,ok,,ok,,12,15.7
7,2026-07-11T00:34:26.416948+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,69.3
8,2026-07-11T00:35:54.679502+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""videos educativos de programación""}",llm,ok,,ok,,18,68.5
9,2026-07-11T00:37:25.098106+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,66.11
10,2026-07-11T00:38:52.104390+02:00,llm_run06,llm,1006,revisar_correo,{},llm,ok,,fallo,ver session.log,18,52.18
11,2026-07-11T00:40:02.556037+02:00,llm_run06,llm,1006,revisar_correo,{},llm,ok,,fallo,ver session.log,18,51.59
12,2026-07-11T00:41:16.021370+02:00,llm_run06,llm,1006,mirar_youtube,"{""busqueda"": ""videos de comedia""}",llm,ok,,ok,,12,35.36
13,2026-07-11T00:42:05.947519+02:00,llm_run06,llm,1006,revisar_correo,{},llm,ok,,fallo,ver session.log,18,51.57
14,2026-07-11T00:43:16.024885+02:00,llm_run06,llm,1006,usar_twitter,{},llm,ok,,ok,,12,12.53
1,2026-07-11T01:15:51.376216+02:00,llm_run07,llm,1007,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,36.44
2,2026-07-11T01:16:42.518207+02:00,llm_run07,llm,1007,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,38.9
3,2026-07-11T01:17:40.712862+02:00,llm_run07,llm,1007,revisar_correo,{},llm,ok,,fallo,ver session.log,12,51.27
4,2026-07-11T01:18:46.536455+02:00,llm_run07,llm,1007,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,36.97
5,2026-07-11T01:19:44.159634+02:00,llm_run07,llm,1007,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,72.52
6,2026-07-11T01:21:13.504507+02:00,llm_run07,llm,1007,buscar_google,"{""termino"": ""noticias de última hora""}",llm,ok,,ok,,12,14.86
7,2026-07-11T01:21:41.435886+02:00,llm_run07,llm,1007,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,67.59
8,2026-07-11T01:23:01.880292+02:00,llm_run07,llm,1007,usar_twitter,{},llm,ok,,ok,,12,13.27
9,2026-07-11T01:23:29.248737+02:00,llm_run07,llm,1007,usar_twitter,{},llm,ok,,ok,,12,16.21
10,2026-07-11T01:23:59.568485+02:00,llm_run07,llm,1007,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,70.6
11,2026-07-11T01:25:25.721533+02:00,llm_run07,llm,1007,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,35.73
12,2026-07-11T01:26:21.941890+02:00,llm_run07,llm,1007,usar_twitter,{},llm,ok,,ok,,12,12.99
13,2026-07-11T01:26:48.975423+02:00,llm_run07,llm,1007,mirar_youtube,"{""busqueda"": ""vídeos educativos de inteligencia artificial""}",llm,ok,,ok,,18,37.64
14,2026-07-11T01:27:44.855826+02:00,llm_run07,llm,1007,usar_twitter,{},llm,ok,,ok,,12,12.57
15,2026-07-11T01:28:10.653826+02:00,llm_run07,llm,1007,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,63.05
16,2026-07-11T01:29:28.224188+02:00,llm_run07,llm,1007,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,37.86
17,2026-07-11T01:30:26.445446+02:00,llm_run07,llm,1007,revisar_correo,{},llm,ok,,fallo,ver session.log,18,50.99
1,2026-07-11T02:04:27.757689+02:00,llm_run08,llm,1008,revisar_correo,{},llm,ok,,fallo,ver session.log,12,51.24
2,2026-07-11T02:05:32.415020+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,36.51
3,2026-07-11T02:06:23.741132+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,69.43
4,2026-07-11T02:07:54.882052+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,73.81
5,2026-07-11T02:09:27.666506+02:00,llm_run08,llm,1008,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,88.05
6,2026-07-11T02:11:12.396551+02:00,llm_run08,llm,1008,usar_twitter,{},llm,ok,,ok,,12,15.24
7,2026-07-11T02:11:42.490843+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,63.73
8,2026-07-11T02:12:58.648057+02:00,llm_run08,llm,1008,usar_twitter,{},llm,ok,,ok,,12,13.15
9,2026-07-11T02:13:24.898262+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""videos educativos de programación""}",llm,ok,,ok,,18,68.14
10,2026-07-11T02:14:53.373456+02:00,llm_run08,llm,1008,buscar_google,"{""termino"": ""noticias de última hora""}",llm,ok,,ok,,12,15.75
11,2026-07-11T02:15:23.125684+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,63.91
12,2026-07-11T02:16:39.453867+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""tutoriales de programación en Python""}",llm,ok,,ok,,18,35.8
13,2026-07-11T02:17:35.765558+02:00,llm_run08,llm,1008,usar_twitter,{},llm,ok,,ok,,18,12.86
14,2026-07-11T02:18:08.750431+02:00,llm_run08,llm,1008,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,59.5
1,2026-07-11T02:54:35.037377+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,72.15
2,2026-07-11T02:56:09.201366+02:00,llm_run09,llm,1009,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,80.27
3,2026-07-11T02:57:42.045412+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,63.28
4,2026-07-11T02:58:59.070527+02:00,llm_run09,llm,1009,revisar_correo,{},llm,ok,,fallo,ver session.log,18,53.48
5,2026-07-11T03:00:12.394669+02:00,llm_run09,llm,1009,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,86.15
6,2026-07-11T03:01:51.173964+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,64.86
7,2026-07-11T03:03:11.485627+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,37.8
8,2026-07-11T03:04:11.587159+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,67.41
9,2026-07-11T03:05:39.127469+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""educación en tecnología""}",llm,ok,,ok,,18,71.68
10,2026-07-11T03:07:12.055166+02:00,llm_run09,llm,1009,usar_twitter,{},llm,ok,,ok,,12,12.48
11,2026-07-11T03:07:37.647455+02:00,llm_run09,llm,1009,buscar_google,"{""termino"": ""noticias de tecnología""}",llm,ok,,ok,,12,23.89
12,2026-07-11T03:08:16.400543+02:00,llm_run09,llm,1009,mirar_youtube,"{""busqueda"": ""videos de tecnología""}",llm,ok,,ok,,18,73.75
1,2026-07-11T03:41:39.671788+02:00,llm_run10,llm,1010,buscar_google,"{""termino"": ""noticias de última hora""}",llm,ok,,ok,,12,37.47
2,2026-07-11T03:42:30.176731+02:00,llm_run10,llm,1010,usar_twitter,{},llm,ok,,ok,,12,14.22
3,2026-07-11T03:42:59.747757+02:00,llm_run10,llm,1010,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,18.98
4,2026-07-11T03:43:33.415249+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,68.41
5,2026-07-11T03:45:00.713504+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""conciertos en vivo""}",llm,ok,,ok,,12,69.59
6,2026-07-11T03:46:26.490142+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""conciertos en vivo""}",llm,ok,,ok,,12,68.02
7,2026-07-11T03:47:47.989695+02:00,llm_run10,llm,1010,usar_twitter,{},llm,ok,,ok,,12,15.54
8,2026-07-11T03:48:20.153139+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,18,68.95
9,2026-07-11T03:49:48.799866+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""streaming en vivo""}",llm,ok,,ok,,12,64.64
10,2026-07-11T03:51:06.809206+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""videos educativos de programación""}",llm,ok,,ok,,18,72.87
11,2026-07-11T03:52:40.958321+02:00,llm_run10,llm,1010,buscar_google,"{""termino"": ""últimos avances en inteligencia artificial""}",llm,ok,,ok,,12,75.04
12,2026-07-11T03:54:09.793288+02:00,llm_run10,llm,1010,buscar_google,"{""termino"": ""noticias de tecnología""}",llm,ok,,ok,,12,23.14
13,2026-07-11T03:54:46.475482+02:00,llm_run10,llm,1010,mirar_youtube,"{""busqueda"": ""streaming en vivo de tecnología""}",llm,ok,,ok,,12,38.92
14,2026-07-11T03:55:40.767226+02:00,llm_run10,llm,1010,buscar_google,"{""termino"": ""últimas noticias de tecnología""}",llm,ok,,ok,,12,75.7
1,2026-07-10T20:45:14.262672+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.bbc.com/mundo""}",random,ok,,ok,,14,6.22
2,2026-07-10T20:45:38.191434+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,20,14.43
3,2026-07-10T20:46:12.901833+02:00,random_run01,random,1001,buscar_google,"{""termino"": ""mejores frameworks python 2025""}",random,ok,,ok,,21,94.74
4,2026-07-10T20:48:09.952885+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,20,14.36
5,2026-07-10T20:48:45.030088+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,14,14.23
6,2026-07-10T20:49:13.811616+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,9,12.97
7,2026-07-10T20:49:37.385229+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,23,6.54
8,2026-07-10T20:50:10.342676+02:00,random_run01,random,1001,ver_streaming,{},random,ok,,ok,,14,64.46
9,2026-07-10T20:51:29.417616+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,12,12.94
10,2026-07-10T20:51:55.264050+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.xataka.com""}",random,ok,,ok,,11,5.13
11,2026-07-10T20:52:15.864575+02:00,random_run01,random,1001,ver_streaming,{},random,ok,,ok,,12,66.53
12,2026-07-10T20:53:37.024658+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.xataka.com""}",random,ok,,ok,,16,4.45
13,2026-07-10T20:53:58.715644+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,10,12.51
14,2026-07-10T20:54:24.219225+02:00,random_run01,random,1001,usar_twitter,{},random,ok,,ok,,25,12.2
15,2026-07-10T20:55:03.147608+02:00,random_run01,random,1001,revisar_correo,{},random,ok,,fallo,ver session.log,10,52.25
16,2026-07-10T20:56:09.159627+02:00,random_run01,random,1001,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,19,69.96
17,2026-07-10T20:57:40.741241+02:00,random_run01,random,1001,revisar_correo,{},random,ok,,fallo,ver session.log,9,51.31
18,2026-07-10T20:58:44.336615+02:00,random_run01,random,1001,buscar_google,"{""termino"": ""últimas noticias tecnología""}",random,ok,,ok,,11,18.21
19,2026-07-10T20:59:13.933284+02:00,random_run01,random,1001,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,21,4.59
20,2026-07-10T20:59:41.722927+02:00,random_run01,random,1001,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,14,73.25
1,2026-07-10T21:33:01.139850+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,21,16.13
2,2026-07-10T21:33:40.779378+02:00,random_run02,random,1002,buscar_google,"{""termino"": ""python asyncio tutorial""}",random,ok,,ok,,12,62.01
3,2026-07-10T21:34:57.205252+02:00,random_run02,random,1002,mirar_youtube,"{""busqueda"": ""ciberseguridad""}",random,ok,,ok,,23,71.82
4,2026-07-10T21:36:32.890632+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,10,70.63
5,2026-07-10T21:37:55.215159+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,21,72.55
6,2026-07-10T21:39:30.323387+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,9,15.54
7,2026-07-10T21:39:56.743758+02:00,random_run02,random,1002,buscar_google,"{""termino"": ""últimas noticias de IA""}",random,ok,,ok,,15,59.65
8,2026-07-10T21:41:14.557617+02:00,random_run02,random,1002,revisar_correo,{},random,ok,,fallo,ver session.log,8,49.08
9,2026-07-10T21:42:13.909315+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,25,14.47
10,2026-07-10T21:42:56.400224+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,12,66.36
11,2026-07-10T21:44:17.983586+02:00,random_run02,random,1002,usar_twitter,{},random,ok,,ok,,13,14.17
12,2026-07-10T21:44:47.534995+02:00,random_run02,random,1002,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,22,60.51
13,2026-07-10T21:46:13.380471+02:00,random_run02,random,1002,ver_streaming,{},random,ok,,ok,,16,72.06
14,2026-07-10T21:47:41.640172+02:00,random_run02,random,1002,abrir_url,"{""url"": ""https://www.genbeta.com""}",random,ok,,ok,,24,4.62
1,2026-07-10T22:20:29.091171+02:00,random_run03,random,1003,revisar_correo,{},random,ok,,fallo,ver session.log,25,52.1
2,2026-07-10T22:21:49.300237+02:00,random_run03,random,1003,mirar_youtube,"{""busqueda"": ""música en vivo""}",random,ok,,ok,,15,64.15
3,2026-07-10T22:23:09.122597+02:00,random_run03,random,1003,revisar_correo,{},random,ok,,fallo,ver session.log,22,52.15
4,2026-07-10T22:24:23.642251+02:00,random_run03,random,1003,usar_twitter,{},random,ok,,ok,,22,13.73
